course_id,title,description,subject,level,created_by,url,price,duration,is_paid,published,subscribers,created_at
1070968,Ultimate Investment Banking Course,Learn about ultimate investment banking course,Business Finance,All Levels,f43f8ba4-4c8a-4758-b9a4-ca3b03501148,https://www.udemy.com/ultimate-investment-banking-course/,200.0,1.5 hours,True,True,2147,2025-04-12T14:16:32.975379
1113822,Complete GST Course & Certification - Grow Your CA Practice,Learn about complete gst course & certification - grow your ca practice,Business Finance,All Levels,f43f8ba4-4c8a-4758-b9a4-ca3b03501148,https://www.udemy.com/goods-and-services-tax/,75.0,39 hours,True,True,2792,2025-04-12T14:16:32.975379
1006314,Financial Modeling for Business Analysts and Consultants,Learn about financial modeling for business analysts and consultants,Business Finance,Intermediate Level,f43f8ba4-4c8a-4758-b9a4-ca3b03501148,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,45.0,2.5 hours,True,True,2174,2025-04-12T14:16:32.975379
1210588,Beginner to Pro - Financial Analysis in Excel 2017,Learn about beginner to pro - financial analysis in excel 2017,Business Finance,All Levels,f43f8ba4-4c8a-4758-b9a4-ca3b03501148,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,95.0,3 hours,True,True,2451,2025-04-12T14:16:32.975379
1011058,How To Maximize Your Profits Trading Options,Learn about how to maximize your profits trading options,Business Finance,Intermediate Level,f43f8ba4-4c8a-4758-b9a4-ca3b03501148,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,200.0,2 hours,True,True,1276,2025-04-12T14:16:32.975379
192870,Trading Penny Stocks: A Guide for All Levels In 2017,Learn about trading penny stocks: a guide for all levels in 2017,Business Finance,All Levels,f43f8ba4-4c8a-4758-b9a4-ca3b03501148,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,150.0,3 hours,True,True,9221,2025-04-12T14:16:32.975379
739964,Investing And Trading For Beginners: Mastering Price Charts,Learn about investing and trading for beginners: mastering price charts,Business Finance,Beginner Level,f43f8ba4-4c8a-4758-b9a4-ca3b03501148,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,65.0,1 hour,True,True,1540,2025-04-12T14:16:32.975379
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains","Learn about trading stock chart patterns for immediate, explosive gains",Business Finance,All Levels,f43f8ba4-4c8a-4758-b9a4-ca3b03501148,https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,95.0,2.5 hours,True,True,2917,2025-04-12T14:16:32.975379
476268,Options Trading 3 : Advanced Stock Profit and Success Method,Learn about options trading 3 : advanced stock profit and success method,Business Finance,Expert Level,f43f8ba4-4c8a-4758-b9a4-ca3b03501148,https://www.udemy.com/day-trading-stock-options-3/,195.0,2.5 hours,True,True,5172,2025-04-12T14:16:32.975379
1167710,The Only Investment Strategy You Need For Your Retirement,Learn about the only investment strategy you need for your retirement,Business Finance,All Levels,f43f8ba4-4c8a-4758-b9a4-ca3b03501148,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,200.0,1 hour,True,True,827,2025-04-12T14:16:32.975379
